key,optionalValue,
Accepted suggestion on entity,Accepted suggestion on entity,
Added language,Added language,
Added new user,Added new user,
"by ids, methods, keywords, etc.","by ids, methods, keywords, etc.",
CREATE,CREATE,
Created entity,Created entity,
Created entity coming from a public form,Created entity coming from a public form,
Created page,Created page,
Created relation type,Created relation type,
Created relationship,Created relationship,
Created template,Created template,
Created thesaurus,Created thesaurus,
Created user group,Created user group,
DELETE,DELETE,
Deleted attachment,Deleted attachment,
Deleted custom file,Deleted custom file,
Deleted entity,Deleted entity,
Deleted file,Deleted file,
Deleted multiple entities,Deleted multiple entities,
Deleted page,Deleted page,
Deleted relation type,Deleted relation type,
Deleted relationship,Deleted relationship,
Deleted template,Deleted template,
Deleted thesaurus,Deleted thesaurus,
Deleted user,Deleted user,
Deleted user group,Deleted user group,
Imported entities from file,Imported entities from file,
Imported translations from file,Imported translations from file,
Information extraction training,Information extraction training,
key,key,
MIGRATE,MIGRATE,
RAW,RAW,
Re-uploaded document,Re-uploaded document,
Removed language,Removed language,
Renamed attachment,Renamed attachment,
Saved template configurations for suggestions,Saved template configurations for suggestions,
Set default language,Set default language,
Set default template,Set default template,
Submitted entity to a remote instance,Submitted entity to a remote instance,
Two-factor authentication enabled,Two-factor authentication enabled,
Two-factor authentication secret,Two-factor authentication secret,
UPDATE,UPDATE,
Updated file,Updated file,
Updated multiple entities,Updated multiple entities,
Updated permissions on entity,Updated permissions on entity,
Updated relationships,Updated relationships,
Updated settings,Updated settings,
Updated translations,Updated translations,
Updated user,Updated user,
Uploaded attachment,Uploaded attachment,
Uploaded custom file,Uploaded custom file,
Uploaded document,Uploaded document,
Uploaded file,Uploaded file,
WARNING,WARNING,
