key,optionalValue
"added to hub","added to hub"
"added to hub with the following errors:","added to hub with the following errors:"
"Save your work to make change permanent","Save your work to make change permanent"
"Confirm action","Confirm action"
"Are you sure you want to continue?","Are you sure you want to continue?"
"Attachment uploaded","Attachment uploaded"
"Attachment renamed","Attachment renamed"
"Attachment deleted","Attachment deleted"
"File updated","File updated"
"File deleted","File deleted"
"Copied to clipboard","Copied to clipboard"
"Deleted successfully.","Deleted successfully."
"Saved successfully.","Saved successfully."
"Created successfully.","Created successfully."
"Entity saved","Entity saved"
"Entity deleted","Entity deleted"
"Deletion success","Deletion success"
