key,optionalValue,
"Are you sure you want to delete",,
"Are you sure you want to delete this attachment?",,
"Are you sure you want to delete this connection type?",,
"Are you sure you want to delete this connection?",,
"Are you sure you want to delete this entity?",,
"Are you sure you want to delete this file?",,
"Are you sure you want to delete this item?",,
"Are you sure you want to delete this page?",,
"Are you sure you want to delete this thesaurus?",,
"Can not delete template:",,
"Cannot delete connection type:",,
"Cannot delete thesaurus:",,
"Changes can't be undone after saving. Changing text fields may invalidate the suggestions.",,
"Confirm add",,
"Confirm delete",,
"Confirm delete connection",,
"Confirm delete connection type:",,
"Confirm delete entity",,
"Confirm delete file",,
"Confirm delete of template:",,
"Confirm delete page:",,
"confirm delete template","Are you sure you want to delete this entity type?
        This will delete the template and all relationship properties from other templates pointing to this one.",
"Confirm delete thesaurus:",,
"Confirm discard changes",,
"Confirm edit suggestion-enabled Thesaurus",,
"Keep this in mind if you want to edit:",,
"language?",,
"Lengthy reindex process",,
"Template with a long number of entities","The template has changed and the associated entities will be re-indexed,
       this process may take several minutes, do you want to continue?",
"Mapping conflict error","A reindex of your collection is necessary. The reason may vary 
        -- from certain changes made to a template's property to new fields
        that need to be populated across entities. 
        This process will not negatively affect the data in your collection. 
        It can last a few minutes and some parts of your collection might take
        some time to reappear in the Library, but this is temporary. Do you want to continue?",
"Template conflict",,
"There are unsaved changes. Are you sure you want to discard them and switch to a different document?",,
"This action may take some time while we add the extra language to the entire collection.",,
"This action may take some time, can not be undone and will delete all the information in that language.",,
"This connection type is being used and cannot be deleted.",,
"This template has associated entities",,
"This thesaurus is being used in document types and cannot be deleted.",,
"This will delete the template and all relationship properties from other templates pointing to this one.",,
