key,optionalValue,
"Show in cards","Show in cards",
"Use as filter","Use as filter",
"Hide label","Hide label",
"Collection name","Collection name",
"Custom favicon","Custom favicon",
"Use custom landing page","Use custom landing page",
"Google Analytics","Google Analytics",
"Matomo Analytics","Matomo Analytics",
"Contact Form","Contact Form",
"Receiving email","Receiving email",
"Sending email","Sending email",
"Public Endpoints","Public Endpoints",
"Custom starting location","Custom starting location",
"Create User","Create User",
"property text","Text",
"property numeric","Numeric",
"property select","Select",
"property multiselect","Multiselect",
"property relationship","Relationship",
"property date","Date",
"property daterange","Date Range",
"property multidate","Multi Date",
"property multidaterange","Multi Date Range",
"property markdown","Rich Text",
"property link","Link",
"property image","Image",
"property preview","Preview",
"property media","Media",
"property geolocation","Geolocation",
"property generatedid","Generated ID",
