Key,Arabic
*please keep this key secret and don't share it.,*please keep this key secret and don't share it.
+ Add data source,+ Add data source
+ Add filter,+ Add filter
+ click to select multiple cards.,+ click to select multiple cards.
2FA,2FA
2FA Enabled,2FA Enabled
A default template cannot be deleted.,A default template cannot be deleted.
A friendly hand for serious work — I'll act in the context shown above.,A friendly hand for serious work — I'll act in the context shown above.
A generated ID will be the default title.,سيكون معرف تم إنشاؤه العنوان.
A source template must,A source template must
A target template needs to have the following properties,A target template needs to have the following properties
A valid email is required,البريد الإلكتروني مطلوب
A → Z,A → Z
Accept,قبول
Accepted suggestion on entity,Accepted suggestion on entity
Accepting suggestions,Accepting suggestions
Accessibility checks need attention,Accessibility checks need attention
Account,حساب
Account locked,Account locked
Account unlocked successfully,Account unlocked successfully
Account updated,Account updated
Accuracy,Accuracy
Accuracy tooltip,Accuracy is defined by the amount of matches vs mismatches for labeled samples that have been processed.
Action,عمل/ إجراء
Actions,Actions
Activate,Activate
Activated,Activated
Active languages,اللغات النشطة
Activity,Activity
Activity log,سجل النشاطات
Activity Log,سجل النشاطات
Add,ضف
Add / remove favorite,إضافة/ إزالة المفضلة
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.
Add as,Add as
Add data source,Add data source
Add date,إضافة تاريخ
Add entities / documents,إضافة كيانات (أو إدخالات)/ مستندات
Add entity,Add entity
Add entity type,Add entity type
Add Extractor,Add Extractor
Add extractor,Add extractor
Add file,اضف ملف
Add from URL,إضافة من عنوان URL
Add from web,أضف من الويب
Add group,إضافة مجموعة
add icon,أضف أيقونة
Add item,Add item
Add language,إضافة لغة
Add link,إضافة رابط
Add page,إضافة صفحة
Add PDF,Add PDF
Add people or groups,إضافة أشخاص أو مجموعات
Add property,Add property
Add relationship,Add relationship
Add relationship type,Add relationship type
Add template,إضافة قالب
Add thesaurus,أضف قائمة المفردات
Add thesaurus value,Add thesaurus value
Add timelink,Add timelink
Add to all languages,إضافة إلى جميع اللغات
Add to table of contents,أضف إلى جدول المحتويات
Add to ToC,Add to ToC
Add to training set,Add to training set
Add translation,Add translation
Add user,إضافة مستخدم
add value,add value
Add/delete users and assign roles,إضافة / حذف المستخدمين وتعيين الأدوار
Add/edit translations,إضافة / تحرير الترجمات
Added language,Added language
Added new user,Added new user
added to hub with the following errors:,added to hub with the following errors:
added to hub.,added to hub.
Adding a group and its items.,Adding a group and its items.
Adding items to the thesauri,Adding items to the thesauri
Adjust a few colors; secondary text and muted backgrounds update automatically.,Adjust a few colors; secondary text and muted backgrounds update automatically.
Admin,مشرف
Administrators and Editors,المشرفون (أو المسؤولون) والمحررون
Administrators and Editors always have edit access,Administrators and Editors always have edit access
Admins,Admins
