Key,Spanish
"""Costa Rica""","""Costa Rica"""
"""the status""~5","""el estado""~5"
*please keep this key secret and don't share it.,"*Por favor, mantén esta clave en secreto y no la compartas."
+ Add data source,+ Añadir fuente de datos
+ Add filter,+ Añadir filtro
+ click to select multiple cards.,+ para seleccionar múltiples tarjetas
198?,198?
2FA,Autenticación de dos factores (2FA)
2FA Enabled,Autenticación de dos factores activada
A default template cannot be deleted.,No se puede eliminar una plantilla predeterminada.
A friendly hand for serious work — I'll act in the context shown above.,Una mano amiga para un trabajo serio: actuaré según el contexto que se muestra más arriba.
A generated ID will be the default title.,El ID autogenerado será el título por defecto
A source template must,Una plantilla de origen debe
A target template needs to have the following properties,Una plantilla de destino debe tener las siguientes propiedades
A valid email is required,La dirección de correo electrónico es obligatorio
A → Z,A → Z
Accept,Aceptar
Accept all,Aceptar todo
Accepted suggestion on entity,Sugerencia aceptada en la entidad
Accepting suggestions,Aceptando sugerencias
Accessibility checks need attention,Hay que prestar atención a las comprobaciones de accesibilidad
Account,Cuenta
Account locked,Cuenta bloqueada
Account unlocked successfully,Cuenta desbloqueada satisfactoriamente
Account updated,Cuenta actualizada
Accuracy,Precisión
Accuracy tooltip,La precisión se define según la cantidad de coincidencias frente a desajustes en las muestras etiquetadas que se han procesado.
Action,Acción
Actions,Acciones
Activate,Activar
Activated,Activado
Active filters,Filtros activos
Active languages,Idiomas activos
Active primary,Primario activo
Activity,Actividad
Activity log,Registro de actividad
Activity Log,Registro de Actividad
Add,Añadir
Add / remove favorite,Añadir / eliminar favorito
Add a type below.,Añadir un tipo debajo.
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Añade una cuenta a la aplicación escaneando el código QR que se te ha facilitado con tu dispositivo móvil o introduciendo la clave que se te ha facilitado.
Add as,Añadir como
Add data source,Añadir fuente de datos
Add date,Añadir fecha
Add entities / documents,Añadir entidades / documentos
Add entity,Añadir entidad
Add entity type,Añadir tipo de entidad
Add Extractor,Añadir extractor
Add extractor,Añadir extractor
Add file,Añadir archivo
Add from URL,Añadir desde URL
Add from web,Añadir desde la web
Add group,Añadir grupo
add icon,Añadir ícono
Add icon,Añadir ícono
Add item,Añadir elemento
Add link,Añadir enlace
Add or remove relationship types for this collection.,Añadir o eliminar tipos de relación para esta colección.
Add page,Añadir página
Add PDF,Añadir PDF
Add people or groups,Añadir personas o grupos
Add property,Añadir propiedad
Add relationship,Añadir relación
Add relationship type,Añadir tipo de relación
Add template,Añadir plantilla
Add thesaurus,Añadir tesauro
Add thesaurus value,Añadir valor del tesauro
Add timelink,Añadir línea de tiempo
Add to all languages,Añadir a todos los idiomas
Add to table of contents,Añadir a la tabla de contenidos
Add to ToC,Añadir a TdC
Add to training set,Añadir a conjunto de entrenamiento
Add translation,Añadir traducción
Add user,Añadir usuario
add value,añadir valor
Add/delete users and assign roles,Añadir / Eliminar usuarios y asignar roles
Add/edit translations,Añadir / editar traducciones
Added language,Idioma añadido
Added new user,Nuevo usuario añadido
"Added relation type ""{name}""","Tipo de relación ""{name}"" añadido"
added to hub with the following errors:,añadido al nodo con los siguientes errores:
added to hub.,añadido al nodo.
Adding a group and its items.,Añadir un grupo y sus elementos.
Adding items to the thesauri,Añadir elementos a los tesauros
Adjust a few colors; secondary text and muted backgrounds update automatically.,Ajusta algunos colores; el texto secundario y los fondos en tonos apagados se actualizan automáticamente.
Admin,Administración
Administrators and Editors,Administradores y Editores.
Administrators and Editors always have edit access,Los administradores y los editores siempre tienen acceso de edición
Admins,Administradores
Advanced colors,Colores avanzados
Advanced ECharts overrides,Anulaciones avanzadas de ECharts
ALL,TODOS
All,TODOS
"All changes will be lost, are you sure you want to proceed?","Se perderán todos los cambios, ¿estás seguro de que quieres continuar?"
All data,Todos los datos
All editing options will be disabled.,Se desactivarán todas las opciones de edición.
All of the paragraphs will be deleted,Se eliminarán todos los párrafos
All of the previously created paragraphs will be deleted and recreated after the process.,Todos los párrafos creados anteriormente se eliminarán y se volverán a crear una vez finalizado el proceso.
Allow captcha bypass,Permitir la omisión de captcha
Allow public embedding without login,Permitir la incrustación pública sin necesidad de iniciar sesión
Already exists,Ya existe
Already the same value.,Ya es el mismo valor.
Amount,Cantidad
An admin needs to add relationship types before you can create a relationship.,Un administrador necesita añadir tipos de relación para poder crear una relación.
An error has occured while deleting a language:,Se ha producido un error al eliminar un idioma:
An error has occured while installing languages:,Se ha producido un error al instalar los idiomas:
An error has occurred,Ocurrió un error
An error has occurred during data export,Se ha producido un error durante la exportación de datos.
An error has occurred while installing languages:,Se ha producido un error al instalar los idiomas:
An error has occurred while uninstalling a language:,Se ha producido un error al desinstalar un idioma:
An error occurred,Se ha producido un error
Analytics,Análisis
Analytics description,"Si quieres dar seguimiento a las analíticas relacionadas con las visitas a tu colección, Uwazi soporta analíticas tanto de Google como de Matomo"
AND OR NOT,AND OR NOT
Any,Cualquiera
Any entity,Cualquier entidad
any single character,cualquier carácter individual
Any type,Cualquier tipo
Anyone can see this entity,Cualquiera puede ver esta entidad
Appearance,Aparición
Apply,Aplicar
Are you sure you want to continue?,Estás seguro que quieres continuar?
Are you sure you want to delete,Estás seguro que quieres eliminar
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.","¿Estás seguro de que quieres eliminar las visualizaciones seleccionadas? Esta acción no se puede
deshacer."
Are you sure you want to delete this attachment?,Estás seguro que quieres eliminar este archivo adjunto?
Are you sure you want to delete this connection?,Estás seguro que quieres eliminar esta relación?
Are you sure you want to delete this entity?,Estás seguro que quieres eliminar esta entidad?
Are you sure you want to delete this file?,Estás seguro que quieres eliminar este archivo?
