Key,French
*please keep this key secret and don't share it.,*please keep this key secret and don't share it.
+ click to select multiple cards.,+ click to select multiple cards.
2FA,2FA
2FA Enabled,2FA Enabled
A default template cannot be deleted.,A default template cannot be deleted.
A generated ID will be the default title.,Un identifiant généré sera le titre par défaut.
A source template must,A source template must
A target template needs to have the following properties,A target template needs to have the following properties
A valid email is required,L'email est obligatoire
Accept,Accepter
Accepted suggestion on entity,Accepted suggestion on entity
Accepting suggestions,Accepting suggestions
Accessibility checks need attention,Accessibility checks need attention
Account,Compte
Account locked,Account locked
Account unlocked successfully,Account unlocked successfully
Account updated,Account updated
Accuracy,Accuracy
Accuracy tooltip,Accuracy is defined by the amount of matches vs mismatches for labeled samples that have been processed.
Action,Action
Activate,Activate
Activated,Activated
Active languages,Active languages
Activity,Activité
Activity log,Journal d'activité
Activity Log,Journal d'activité
Add,Ajouter
Add / remove favorite,Ajouter / supprimer un favori
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.
Add date,Ajouter une date
Add entities / documents,Ajouter des entités / documents
Add entity type,Add entity type
Add Extractor,Add Extractor
Add extractor,Add extractor
Add file,Ajouter le fichier
Add from URL,Ajouter à partir d'une url
Add from web,Ajouter à partir du web
Add group,Ajouter un groupe
add icon,Ajouter une icône
Add item,Add item
Add language,Ajouter une langue
Add link,Ajouter un lien
Add page,Ajouter une page
Add PDF,Add PDF
Add people or groups,Ajouter des personnes ou des groupes
Add property,Add property
Add relationship,Add relationship
Add relationship type,Add relationship type
Add template,Ajouter un modèle
Add thesaurus,Ajouter un thésaurus
Add thesaurus value,Add thesaurus value
Add timelink,Add timelink
Add to all languages,Ajouter à toutes les langues
Add to table of contents,Ajouter à la table des matières
Add to ToC,Add to ToC
Add to training set,Add to training set
Add user,Ajouter un utilisateur
add value,add value
Add/delete users and assign roles,Ajouter / Supprimer des utilisateurs et attribuer des rôles
Add/edit translations,Ajouter / Modifier des traductions
Added language,Added language
Added new user,Added new user
added to hub with the following errors:,added to hub with the following errors:
added to hub.,added to hub.
Adding a group and its items.,Adding a group and its items.
Adding items to the thesauri,Adding items to the thesauri
Admin,Administrateur
Administrators and Editors,Administrateurs et éditeurs
Admins,Admins
Advanced colors,Advanced colors
ALL,ALL
All,All
"All changes will be lost, are you sure you want to proceed?","Tous les changements seront perdus, êtes-vous sûr de vouloir continuer ?"
All clear,All clear
All data,Tous les données
All editing options will be disabled.,All editing options will be disabled.
All of the paragraphs will be deleted,All of the paragraphs will be deleted
All of the previously created paragraphs will be deleted and recreated after the process.,All of the previously created paragraphs will be deleted and recreated after the process.
Allow captcha bypass,Allow captcha bypass
Already exists,Already exists
Amount,Amount
An error has occured while deleting a language:,An error has occured while deleting a language:
An error has occured while installing languages:,An error has occured while installing languages:
An error has occurred,An error has occurred
An error has occurred during data export,An error has occurred during data export
An error has occurred while installing languages:,An error has occurred while installing languages:
An error has occurred while uninstalling a language:,An error has occurred while uninstalling a language:
An error occurred,An error occurred
Analytics,Analytics
Analytics description,"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo."
Any entity,Any entity
Apply,Apply
Are you sure you want to continue?,Are you sure you want to continue?
Are you sure you want to delete this attachment?,Are you sure you want to delete this attachment?
Are you sure you want to delete this connection?,Are you sure you want to delete this connection?
Are you sure you want to delete this entity?,Are you sure you want to delete this entity?
Are you sure you want to delete this file?,Are you sure you want to delete this file?
Are you sure you want to delete this item?,Are you sure you want to delete this item?
Are you sure you want to delete this reference? This action cannot be undone.,Are you sure you want to delete this reference? This action cannot be undone.
Are you sure?,Are you sure?
Attachment,Attachment
Attachment deleted,Attachment deleted
Attachment renamed,Attachment renamed
Attachment uploaded,Attachment uploaded
Attachments,Pièces Jointes
Authentication code,Code d'authentification
auto created,auto created
Auto-accept suggestions,Auto-accept suggestions
auto-created,créé automatiquement
Auto-refreshing,Auto-refreshing
Automatic Table of Contents,Table des matières automatique
Automatically generated,Généré automatiquement
Available default translation,Available default translation
Back,Retour
Back to,Retour à
Back to search,Retour à la recherche
Bad Request,Bad Request
Basic,Basic
Body,Corps
Browse files to upload,Parcourir les fichiers à télécharger
"by ids, methods, keywords, etc.","by ids, methods, keywords, etc."
Can edit,Peut éditer
Can see,Peut voir
Can view,Peut voir
Cancel,Annuler
cancel csv import,Cancel the import process. This will stop the creation of new entities. Already created entities will not be affected
Canceling,Canceling
Canceling...,Canceling...
Cancelled,Cancelled
Cannot connect to server,Cannot connect to server
Cannot find extractor,Cannot find extractor
Captcha,Captcha
Captcha bypass,Contournement du captcha
Cards,Cartes
Cards view,Vue en cartes
Change,Change
Change password,Changer le mot de passe
Change Password,Change Password
Changes in the thesaurus will impact all the entities using these values.,Changes in the thesaurus will impact all the entities using these values.
Changing the type will erase all relationships to this entity.,Changing the type will erase all relationships to this entity.
Character support description,"This option enhances support for non-Latin languages as the default languages of your collection.
Selecting this option will update all template properties automatically. The process could take several minutes. Selecting this option will likely change the URLs of library filters. As a consequence, if you have menus or links using such URLs, they will probably stop working.
You will need to update them manually. After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Character support process warning,"This process could take several minutes and will likely change URLs to library filters. If you have menus or links using such URLs, they will probably stop working after the update. You will need to update them manually."
Character support revert warning,"After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Check to make this instance public (non-logged in users can see public documents and entities),Check to make this instance public (non-logged in users can see public documents and entities)
Checking which images fit the requirements,Checking which images fit the requirements...
Choose,Choose
Choose which data to use for training,Choose which data to use for training
Clear,Clear
Clear all,Clear all
Clear All,Clear All
Clear coordinates,Effacer les coordonnées
Clear Filters,Effacer les filtres
Clear PDF selection,Clear PDF selection
Click,Click
Click here,Cliquez ici
Click to fill,Cliquez pour remplir
Close,Fermer
Code,Code
Collaborator,Collaborateur
Collaborators,Collaborators
Collapse all,Collapse all
Collapse All,Collapse All
Collection,Collection
Collection Name,Collection Name
Common sources,Common sources
Completed,Completed
Configuration,Configuration
Configure filters,Configurer les filtres
Configure templates,Configure templates
Confirm,Confirmer
CONFIRM,CONFIRMER
Confirm action,Confirm action
Confirm delete connection,Confirm delete connection
Confirm delete multiple items,Confirmer supprimer plusieurs éléments
Confirm deletion,Confirmer la suppression
Confirm deletion of,Confirm deletion of
Confirm deletion of entity,Confirm deletion of entity
Confirm deletion of file,Confirm deletion of file
Confirm new password,Confirmer le nouveau mot de passe
Connect to a paragraph,Se connecter à un paragraphe
Connect to an entity,Connect to an entity
Connect to document,Connect to document
Connect to paragraph,Connect to paragraph
Connected to server,Connected to server
Connection type,Type de connexion
Contact email description,Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user
Contact Form,Formulaire de contact
Contact form email,Contact form email
Content translations,Content translations
Context,Context
Continue,Continue
Conversion failed,Échec de la conversion
Copied to clipboard,Copied to clipboard
Copy From,Copier de
Copy Highlighted,Copier surligné
Copy link,Copier le lien
Copy properties to this entity from,Copier les propriétés de cette entité à partir de
Copy to clipboard,Copy to clipboard
Could not be processed,N'a pas pu être traité
Could not detect the area for the selected text,"Could not detect the area for the selected text, please try selecting again."
Could not reach server. Please try again later.,Could not reach server. Please try again later.
Create,Créer
CREATE,Créer
Create and edit thesauri,Create and edit thesauri
Create Connection,Create Connection
Create dictionaries,Créer des dictionnaires
Create entity,Créer une entité
Create Entity,Créer une entité
Create Extractor,Create Extractor
Create group,Créer un groupe
Create new entities and upload documents,Create new entities and upload documents
Create Reference,Create Reference
Create relationship types,Create relationship types
Create relationships and references,Create relationships and references
Create table of contents,Create table of contents
Created entity,Created entity
Created entity coming from a public form,Created entity coming from a public form
Created page,Created page
Created relation type,Created relation type
Created relationship,Created relationship
Created template,Created template
Created thesaurus,Created thesaurus
Created user group,Created user group
Creating entities,Creating entities
Creating relationships,Creating relationships
Creating thesauri,Creating thesauri
csv blank state message,"Import CSV or ZIP files to create entities in bulk. Click ""New Import"" to get started."
CSV or ZIP up to 50MB,CSV or ZIP up to 50MB
Current Value/Suggestion,Current Value/Suggestion
Custom component error,Erreur de composant personnalisé
Custom CSS,CSS personnalisé
Custom Favicon,Custom Favicon
Custom JS,Custom JS
Custom landing page,Custom landing page
custom page error warning,"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details."
Custom Uploads,Téléchargements personnalisés
Customize,Customize
Customized,Customized
Dark,Dark
Dark Theme,Dark Theme
Dashboard,Dashboard
Date,Date
Date added,Date ajoutée
Date format,Format de date
Date modified,Date de modification
Day,Jour
Default,Default
Default date format,Default date format
Default filter,Default filter
Default language,Default language
Default language change success,Succès du changement de langue par défaut
Default template,Modèle par défaut
Default template set successfully.,Default template set successfully.
Default View,Default View
Delete,Effacer
DELETE,Effacer
Delete entities and documents,Delete entities and documents
Delete file,Supprimer le fichier
Delete language,Supprimer la langue
Delete reference,Delete reference
Delete?,Delete?
