Key,Korean
*please keep this key secret and don't share it.,*please keep this key secret and don't share it.
+ Add data source,+ Add data source
+ Add filter,+ Add filter
+ click to select multiple cards.,+ click to select multiple cards.
2FA,2FA
2FA Enabled,2FA Enabled
A default template cannot be deleted.,A default template cannot be deleted.
A friendly hand for serious work — I'll act in the context shown above.,A friendly hand for serious work — I'll act in the context shown above.
A generated ID will be the default title.,생성된 아이디가 기본값으로 설정됩니다.
A source template must,A source template must
A target template needs to have the following properties,A target template needs to have the following properties
A valid email is required,이메일이 필요합니다.
A → Z,A → Z
Accept,수락
Accepted suggestion on entity,Accepted suggestion on entity
Accepting suggestions,Accepting suggestions
Accessibility checks need attention,Accessibility checks need attention
Account,계정
Account locked,Account locked
Account unlocked successfully,Account unlocked successfully
Account updated,Account updated
Accuracy,Accuracy
Accuracy tooltip,Accuracy is defined by the amount of matches vs mismatches for labeled samples that have been processed.
Action,활동
Actions,Actions
Activate,Activate
Activated,Activated
Active languages,Active languages
Activity,활동
Activity log,활동 로그
Activity Log,활동 로그
Add,추가
Add / remove favorite,즐겨찾기 추가/제거
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.
Add as,Add as
Add data source,Add data source
Add date,날짜 추가
Add entities / documents,엔티티/문서 추가
Add entity,Add entity
Add entity type,Add entity type
Add Extractor,Add Extractor
Add extractor,Add extractor
Add file,파일 추가
Add from URL,URL 에서 추가
Add from web,웹에서 추가
Add group,그룹 추가
add icon,아이콘 추가
Add item,Add item
Add language,언어 추가
Add link,링크 추가
Add page,페이지 추가
Add PDF,Add PDF
Add people or groups,사용자 혹은 그룹 추가
Add property,Add property
Add relationship,Add relationship
Add relationship type,Add relationship type
Add template,템플릿 추가
Add thesaurus,시소러스 추가
Add thesaurus value,Add thesaurus value
Add timelink,Add timelink
Add to all languages,모든 언어에 추가
Add to table of contents,목차에 추가
Add to ToC,Add to ToC
Add to training set,Add to training set
Add translation,Add translation
Add user,사용자 추가
add value,add value
Add/delete users and assign roles,사용자 추가/삭제 및 권한 부여
Add/edit translations,번역 추가/편집
Added language,Added language
Added new user,Added new user
added to hub with the following errors:,added to hub with the following errors:
added to hub.,added to hub.
Adding a group and its items.,Adding a group and its items.
Adding items to the thesauri,Adding items to the thesauri
Adjust a few colors; secondary text and muted backgrounds update automatically.,Adjust a few colors; secondary text and muted backgrounds update automatically.
Admin,관리자
Administrators and Editors,관리자 및 편집자
Administrators and Editors always have edit access,Administrators and Editors always have edit access
Admins,Admins
Advanced colors,Advanced colors
Advanced ECharts overrides,Advanced ECharts overrides
ALL,전체 필터
All,전체 필터
"All changes will be lost, are you sure you want to proceed?",모든 변경 사항이 손실됩니다. 계속 진행하시겠습니까?
