Key,Burmese
"""Costa Rica""",ကိုစတာရီကာ
"""the status""~5","""ဥပဒေရေးရာ အခြေအနေ""~၅"
*please keep this key secret and don't share it.,*ဒီသော့ကို လျှို့ဝှက်ထားပြီး မမျှဝေပါနှင့်။
+ Add data source,+ ဒေတာရင်းမြစ် ထည့်ပါ
+ Add filter,+ စစ်ထုတ်မှု ထည့်ပါ
+ click to select multiple cards.,+ ကတ်များစွာကိုရွေးရန်နှိပ်ပါ။
198?,၁၉၈?
2FA,နှစ်ဆလုံခြုံရေး
2FA Enabled,2FA ဖွင့်ထားသည်
A default template cannot be deleted.,မူလပုံစံကို ဖျက်၍ မရပါ။
A friendly hand for serious work — I'll act in the context shown above.,အရေးကြီးသော အလုပ်များအတွက် မိတ်ဆွေတစ်ဦးလို ကူညီပေးမည့်သူ — အထက်တွင် ပြထားသည့် အကြောင်းအရာအရ ကျွန်ုပ် လုပ်ဆောင်ပါမည်။
A generated ID will be the default title.,ထုတ်ပေးသည့် ID သည် ပုံသေမူလ ခေါင်းစဉ် ဖြစ်ပါမည်။
A source template must,အရင်းအမြစ်ပုံစံသည်
A target template needs to have the following properties,ပစ်မှတ်ပုံစံတစ်ခုတွင် အောက်ပါ အင်္ဂါရပ်များ ပါရှိရမည်။
A valid email is required,အီးမေးလ် လိုအပ်သည်
A → Z,A → Z
Accept,လက်ခံမည်
Accept all,အားလုံးကိုလက်ခံပါ
Accepted suggestion on entity,အဖွဲ့အစည်းဆိုင်ရာ အကြံပြုချက်ကို လက်ခံပါသည်။
Accepting suggestions,အကြံပြုချက်များကို လက်ခံနေပါသည်
Accessibility checks need attention,ဝင်ရောက်နိုင်မှု စစ်ဆေးမှုများတွင် အာရုံစိုက်ရန် လိုအပ်သည်။
Account,အကောင့်
Account locked,အကောင့်ပိတ်ထားသည်
Account unlocked successfully,အကောင့်ကို အောင်မြင်စွာ ဖွင့်လှစ်ပြီးပါပြီ။
Account updated,အကောင့်ကို အပ်ဒိတ်လုပ်ပြီးပါပြီ။
Accuracy,တိကျမှန်ကန်မှု
Accuracy tooltip,တိကျမှန်ကန်မှုကို သတ်မှတ်ထားသော နမူနာများအား လုပ်ဆောင်ပြီးနောက် မှန်ကန်သည့် နမူနာများနှင့် မမှန်ကန်သည့် နမူနာများ၏ အရေအတွက်အချိုးဖြင့် သတ်မှတ်သည်။
Action,လုပ်ဆောင်ချက်
Actions,လုပ်ဆောင်ချက်များ
Activate,ဖွင့်ပါ
Activated,ဖွင့်ထားသည်
Active filters,လက်ရှိ အသုံးပြုနေသော စစ်ထုတ်မှုများ
Active languages,အသုံးပြုနေသော ဘာသာစကားများ
Active primary,လက်ရှိ အဓိက
Activity,လုပ်ဆောင်မှု
Activity log,လုပ်ဆောင်မှု မှတ်တမ်း
Activity Log,လုပ်ဆောင်မှု မှတ်တမ်း
Add,ထည့်ရန်
Add / remove favorite,အကြိုက်ဆုံးကို ထည့်ရန် / ဖယ်ရှားရန်
Add a type below.,အောက်တွင် အမျိုးအစားတစ်ခု ထည့်ပါ။
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,အက်ပ်တွင် ပေးထားသော QR ကုဒ်ကို မိုဘိုင်းစက်ဖြင့် စကင်ခြင်းဖြင့် သို့မဟုတ် ပေးထားသော key ကို ထည့်သွင်းခြင်းဖြင့် အကောင့်တစ်ခု ထည့်ပါ။
Add as,အဖြစ်ထည့်ပါ
Add data source,ဒေတာရင်းမြစ် ထည့်ပါ
Add date,ရက်စွဲ ထည့်ရန်
Add entities / documents,ဖြည့်သွင်းချက်များ / စာရွက်စာတမ်းများ ထည့်ရန်
Add entity,အဖွဲ့အစည်းထည့်ပါ
Add entity type,အဖွဲ့အစည်းအမျိုးအစား ထည့်ပါ
Add Extractor,ထုတ်ယူသူထည့်ပါ
Add extractor,ထုတ်ယူသူထည့်ပါ
Add file,ဖိုင် ထည့်ရန်
Add from URL,url မှ ထည့်ရန်
Add from web,ဝက်ဘ်မှ ထည့်ရန်
Add group,အုပ်စု ထည့်ရန်
add icon,အိုင်ကွန် ထည့်ရန်
Add icon,အိုင်ကွန်ထည့်ပါ
Add item,ပစ္စည်းထည့်ပါ
Add link,လင့်ခ် ထည့်ရန်
Add or remove relationship types for this collection.,ဤစုစည်းမှုအတွက် ဆက်နွယ်မှုအမျိုးအစားများကို ထည့် သို့မဟုတ် ဖယ်ရှားပါ။
Add page,စာမျက်နှာ ထည့်ရန်
Add PDF,PDF ထည့်ပါ
Add people or groups,လူများ သို့မဟုတ် အုပ်စုများ ထည့်ရန်
Add property,ပိုင်ဆိုင်မှု ထည့်ပါ
Add relationship,ဆက်နွယ်မှု ထည့်ပါ
Add relationship type,ဆက်နွယ်မှုအမျိုးအစား ထည့်ပါ
Add template,ပုံစံပြား ထည့်ရန်
Add thesaurus,ဝေါဟာရပဒေသာကျမ်း ထည့်ရန်
Add thesaurus value,အဓိပ္ပာယ်တူစာရင်းတန်ဖိုးထည့်ပါ
Add timelink,timelink ထည့်ပါ
Add to all languages,ဘာသာစကားအားလုံး သို့ ထည့်ရန်
Add to table of contents,မာတိကာသို့ ထည့်ရန်
Add to ToC,အကြောင်းအရာဇယားသို့ ထည့်ပါ
Add to training set,လေ့ကျင့်မှုအစုသို့ ထည့်ပါ
Add translation,ဘာသာပြန်ချက်ထည့်ပါ
Add user,အသုံးပြုသူထည့်ရန်
add value,တန်ဖိုး ထည့်ပါ
Add/delete users and assign roles,အသုံးပြုသူများကို ထည့်/ဖျက်ပြီး တာဝန်များ သတ်မှတ်ရန်
Add/edit translations,ဘာသာပြန်ဆိုမှုများကို ထည့်ရန်/တည်းဖြတ်ရန်
Added language,ထည့်သွင်းထားသော ဘာသာစကား
Added new user,အသုံးပြုသူအသစ် ထည့်သွင်းခဲ့သည်။
"Added relation type ""{name}""","ဆက်နွယ်မှုအမျိုးအစား ""{name}"" ကို ထည့်သွင်းခဲ့သည်။"
added to hub with the following errors:,အောက်ပါအမှားများဖြင့် hub သို့ ထည့်သွင်းခဲ့သည်။
added to hub.,hub သို့ ထည့်သွင်းခဲ့သည်။
Adding a group and its items.,အုပ်စုတစ်ခုနှင့် ၎င်း၏ ပစ္စည်းများကို ထည့်ခြင်း။
Adding items to the thesauri,အဓိပ္ပာယ်တူစာရင်းများတွင် ပစ္စည်းများ ထည့်သွင်းခြင်း
Adjust a few colors; secondary text and muted backgrounds update automatically.,အရောင်အနည်းငယ်ကို ချိန်ညှိလိုက်ပါ၊ ဒုတိယစာသားနှင့် နူးညံ့သက်သောင့်သက်သာသော နောက်ခံများသည် အလိုအလျောက် ပြောင်းလဲသွားပါမည်။
Admin,အက်မင်
Administrators and Editors,အက်မင်များနှင့် အယ်ဒီတာများ
