Key,Russian
% of sentences above threshold,% предложений выше порога
*please keep this key secret and don't share it.,*please keep this key secret and don't share it.
+ click to select multiple cards.,+ click to select multiple cards.
2FA,2FA
2FA Enabled,2FA Enabled
A generated ID will be the default title.,Сгенерированный идентификатор будет назначен заголовком по умолчанию
A valid email is required,Требутся электронная почта
Accept,Принять
Accept suggestion,Accept suggestion
Accepted suggestion on entity,Accepted suggestion on entity
Account,Аккаунт
Account locked,Account locked
Account locked. Check your email to unlock.,Account locked. Check your email to unlock.
Account unlocked successfully,Account unlocked successfully
Account updated,Account updated
Accuracy,Accuracy
Accuracy (labeled data),Accuracy (labeled data)
Action,Действие
Activate,Activate
Activated,Activated
Active languages,Active languages
Activity,активности
Activity log,Журнал активности
Activity Log,Журнал активности
Add,Добавить
Add / remove favorite,Добавить/удалить избранное
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.
Add date,Добавить дату
Add entities / documents,Добавить объекты/документы
Add entity type,Add entity type
Add Extractor,Add Extractor
Add file,Добавить файл
Add from URL,Добавить из URL
Add from web,Добавить из Интернета
Add group,Добавить группу
add icon,добавить иконку
Add item,Add item
Add language,Добавить язык
Add link,Добавить ссылку
Add page,Добавить страницу
Add PDF,Add PDF
Add people or groups,Добавить людей или группы
Add relationship,Add relationship
Add relationship type,Add relationship type
Add template,Добавить шаблон
Add thesaurus,Добавить предметный указатель
Add thesaurus modal description,After creation you can go into Settings -> Thesauri to add items
Add thesaurus value,Add thesaurus value
Add timelink,Add timelink
Add to all languages,Добавить ко всем языкам
Add to table of contents,Добавить в оглавление
Add user,Добавить пользователя
add value,add value
Add/delete users and assign roles,Добавить/удалить пользователей и назначить роли
Add/edit translations,Добавить / редактировать переводы
Added language,Added language
Added new user,Added new user
added to hub with the following errors:,added to hub with the following errors:
added to hub.,added to hub.
Adding a group and its items.,Adding a group and its items.
Adding items to the thesauri,Adding items to the thesauri
Adjacent geolocation properties will render on the same map,Смежные свойства геолокации будут отражаться на той же карте
Admin,Админ
Administrators and Editors,Администраторы и Редакторы
Admins,Admins
ALL,ВСЕ
All,ВСЕ
"All changes will be lost, are you sure you want to proceed?","Все изменения будут потеряны, вы уверены, что хотите продолжить?"
Allow captcha bypass,Allow captcha bypass
Already exists,Already exists
An error has occured while deleting a language:,An error has occured while deleting a language:
An error has occured while installing languages:,An error has occured while installing languages:
An error has occurred during data export,An error has occurred during data export
An error occurred,An error occurred
Analytics,Analytics
Analytics description,"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo."
Any entity or document,Any entity or document
Apply,Apply
Are you sure you want to continue?,Are you sure you want to continue?
Are you sure you want to delete this attachment?,Are you sure you want to delete this attachment?
Are you sure you want to delete this connection?,Are you sure you want to delete this connection?
Are you sure you want to delete this entity?,Are you sure you want to delete this entity?
Are you sure you want to delete this file?,Are you sure you want to delete this file?
Are you sure you want to delete this item?,Are you sure you want to delete this item?
Are you sure?,Are you sure?
Attachment deleted,Attachment deleted
Attachment renamed,Attachment renamed
Attachment uploaded,Attachment uploaded
Attachments,Вложения
Authentication code,Код аутентификации
auto-created,автоматически созданный
Auto-save,Автосохранение
Automatic Table of Contents,Автоматическое оглавление
Automatically generated,Генерируется автоматически
Available default translation,Available default translation
Back,Назад
Back to,Назад к
Back to search,Назад к поиску
Back to thesauri,Назад к предметным указателям
Back to thesaurus,Назад к предметному указателю
Bad Request,Bad Request
Basic,Basic
Body,Основная часть
Browse files to upload,Просмотрите файлы для загрузки
"by ids, methods, keywords, etc.","by ids, methods, keywords, etc."
Can edit,Может редактировать
Can see,Может видеть
Can view,Может просматривать
Cancel,Отмена
Canceling...,Canceling...
Cannot delete template:,Cannot delete template:
Captcha,Captcha
