Key,Thai
*please keep this key secret and don't share it.,*please keep this key secret and don't share it.
+ click to select multiple cards.,+ click to select multiple cards.
2FA,2FA
2FA Enabled,2FA Enabled
A default template cannot be deleted.,A default template cannot be deleted.
A generated ID will be the default title.,ID ที่สร้างขึ้นจะเป็นชื่อเริ่มต้น
A source template must,A source template must
A target template needs to have the following properties,A target template needs to have the following properties
A valid email is required,จำเป็นต้องใช้อีเมล
Accept,ตกลง
Accepted suggestion on entity,Accepted suggestion on entity
Accepting suggestions,Accepting suggestions
Accessibility checks need attention,Accessibility checks need attention
Account,บัญชี
Account locked,Account locked
Account unlocked successfully,Account unlocked successfully
Account updated,Account updated
Accuracy,Accuracy
Accuracy tooltip,Accuracy is defined by the amount of matches vs mismatches for labeled samples that have been processed.
Action,เริ่มทำ
Activate,Activate
Activated,Activated
Active languages,Active languages
Activity,กิจกรรม
Activity log,บันทึกกิจกรรม
Activity Log,บันทึกกิจกรรม
Add,เพิ่ม
Add / remove favorite,เพิ่ม / ลบรายการโปรด
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.
Add date,เพิ่มวันที่
Add entities / documents,เพิ่มรายการ / เอกสาร
Add entity type,Add entity type
Add Extractor,Add Extractor
Add extractor,Add extractor
Add file,เพิ่มไฟล์
Add from URL,เพิ่มจาก URL
Add from web,เพิ่มจากเว็บ
Add group,เพิ่มกลุ่ม
add icon,เพิ่มไอคอน
Add item,Add item
Add language,เพิ่มภาษา
Add link,เพิ่มลิงค์
Add page,เพิ่มหน้า
Add PDF,Add PDF
Add people or groups,เพิ่มผู้คนหรือกลุ่ม
Add property,Add property
Add relationship,Add relationship
Add relationship type,Add relationship type
Add template,เพิ่มเทมเพลต
Add thesaurus,เพิ่มกลุ่มคำอธิบาย
Add thesaurus value,Add thesaurus value
Add timelink,Add timelink
Add to all languages,เพิ่มเข้าไปในทุกภาษา
Add to table of contents,เพิ่มลงในสารบัญ
Add to ToC,Add to ToC
Add to training set,Add to training set
Add user,เพิ่มผู้ใช้
add value,add value
Add/delete users and assign roles,เพิ่ม / ลบผู้ใช้และกำหนดบทบาทผู้ใช้
Add/edit translations,เพิ่ม / แก้ไขการแปล
Added language,Added language
Added new user,Added new user
added to hub with the following errors:,added to hub with the following errors:
added to hub.,added to hub.
Adding a group and its items.,Adding a group and its items.
Adding items to the thesauri,Adding items to the thesauri
Adjust a few colors; secondary text and muted backgrounds update automatically.,Adjust a few colors; secondary text and muted backgrounds update automatically.
Admin,ผู้ดูแลระบบ
Administrators and Editors,ผู้ดูแลระบบและผู้แก้ไขข้อมูล
Admins,Admins
Advanced colors,Advanced colors
ALL,ALL
All,All
"All changes will be lost, are you sure you want to proceed?",การเปลี่ยนแปลงทั้งหมดจะหายไปคุณแน่ใจหรือว่าต้องการดำเนินการต่อ?
All clear,All clear
All data,All data
All editing options will be disabled.,All editing options will be disabled.
All of the paragraphs will be deleted,All of the paragraphs will be deleted
All of the previously created paragraphs will be deleted and recreated after the process.,All of the previously created paragraphs will be deleted and recreated after the process.
Allow captcha bypass,Allow captcha bypass
Already exists,Already exists
Amount,Amount
An error has occured while deleting a language:,An error has occured while deleting a language:
An error has occured while installing languages:,An error has occured while installing languages:
An error has occurred,An error has occurred
An error has occurred during data export,An error has occurred during data export
An error has occurred while installing languages:,An error has occurred while installing languages:
An error has occurred while uninstalling a language:,An error has occurred while uninstalling a language:
An error occurred,An error occurred
Analytics,Analytics
Analytics description,"If you want to track analytics related to your collection visits, Uwazi supports both Google Analytics and Matomo."
Any entity,Any entity
Apply,Apply
Are you sure you want to continue?,Are you sure you want to continue?
Are you sure you want to delete this attachment?,Are you sure you want to delete this attachment?
Are you sure you want to delete this connection?,Are you sure you want to delete this connection?
Are you sure you want to delete this entity?,Are you sure you want to delete this entity?
Are you sure you want to delete this file?,Are you sure you want to delete this file?
Are you sure you want to delete this item?,Are you sure you want to delete this item?
Are you sure you want to delete this reference? This action cannot be undone.,Are you sure you want to delete this reference? This action cannot be undone.
Are you sure?,Are you sure?
Attachment,Attachment
Attachment deleted,Attachment deleted
Attachment renamed,Attachment renamed
Attachment uploaded,Attachment uploaded
Attachments,สิ่งที่แนบมา
Authentication code,รหัสผ่าน
auto created,auto created
Auto-accept suggestions,Auto-accept suggestions
auto-created,สร้างขึ้นอัตโนมัติ
Auto-refreshing,Auto-refreshing
Automatic Table of Contents,สารบัญอัตโนมัติ
Automatically generated,สร้างขึ้นโดยอัตโนมัติ
Available default translation,Available default translation
Back,ย้อนกลับ
Back to,กลับไปยัง
Back to search,กลับไปที่การค้นหา
Bad Request,Bad Request
Basic,Basic
Body,เนื้อหา
Browse files to upload,เรียกดูไฟล์ที่จะอัปโหลด
"by ids, methods, keywords, etc.","by ids, methods, keywords, etc."
Can edit,แก้ไขได้
Can see,มองเห็นได้
Can view,มองเห็นได้
Cancel,ยกเลิก
cancel csv import,Cancel the import process. This will stop the creation of new entities. Already created entities will not be affected
Canceling,Canceling
Canceling...,Canceling...
Cancelled,Cancelled
Cannot connect to server,Cannot connect to server
Cannot find extractor,Cannot find extractor
Captcha,captcha
Captcha bypass,"By toggling this on you can allow users to submit to your whitelisted templates without having to fill a CAPTCHA. 
The form will still present the captcha to end users, but API end-point will allow submissions without CAPTCHA validation if a 
header ""Bypass-Captcha: true"" is sent along. This option is insecure and can be leveraged to flood your instance with spam or 
malicious content."
Cards,บัตร
Cards view,มุมมองการ์ด
Change,Change
Change password,เปลี่ยนรหัสผ่าน
Change Password,Change Password
Changes in the thesaurus will impact all the entities using these values.,Changes in the thesaurus will impact all the entities using these values.
Changing the type will erase all relationships to this entity.,Changing the type will erase all relationships to this entity.
Character support description,This option enhances support for non-Latin languages as the default languages of your collection.
Character support process warning,"This process could take several minutes and will likely change URLs to library filters. If you have menus or links using such URLs, they will probably stop working after the update. You will need to update them manually."
Character support revert warning,"After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Check to make this instance public (non-logged in users can see public documents and entities),Check to make this instance public (non-logged in users can see public documents and entities)
Checking which images fit the requirements,Checking which images fit the requirements...
Choose,Choose
Choose which data to use for training,Choose which data to use for training
Chrome header,Chrome header
Clear,Clear
Clear all,Clear all
Clear All,Clear All
Clear coordinates,ลบจุดพิกัด
Clear Filters,ล้างตัวกรอง
Clear PDF selection,Clear PDF selection
Click,Click
Click here,คลิกที่นี่
Click to fill,คลิกเพื่อใส่ค่า
Close,ปิด
Code,Code
Collaborator,ผู้ประสานงาน
Collaborators,Collaborators
Collapse all,Collapse all
Collapse All,Collapse All
Collection,คอลเล็คชั่น
Collection Name,Collection Name
Common sources,Common sources
Completed,Completed
Configuration,Configuration
Configure filters,กำหนดค่าตัวกรอง
Configure templates,Configure templates
Confirm,ยืนยัน
CONFIRM,ยืนยัน
Confirm action,Confirm action
Confirm delete connection,Confirm delete connection
Confirm delete multiple items,ยืนยันลบหลายรายการ
Confirm deletion,ยืนยันการลบ
Confirm deletion of,Confirm deletion of
Confirm deletion of entity,Confirm deletion of entity
Confirm deletion of file,Confirm deletion of file
Confirm new password,ยืนยันรหัสผ่านใหม่
Connect to a paragraph,เชื่อมต่อย่อหน้า
Connect to an entity,Connect to an entity
Connect to document,Connect to document
Connect to paragraph,Connect to paragraph
Connected to server,Connected to server
Connection type,ประเภทการเชื่อมต่อ
Contact email description,Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user
Contact Form,Contact Form
Contact form email,Contact form email
Content translations,Content translations
Context,Context
Continue,Continue
Conversion failed,การแปลงล้มเหลว
Copied to clipboard,Copied to clipboard
Copy From,คัดลอกจาก
Copy Highlighted,คัดลอกสิ่งที่ถูกเน้นสี
Copy link,คัดลอกลิงค์
Copy properties to this entity from,คัดลอกคุณสมบัติไปยังรายการนี้ จาก
Copy to clipboard,Copy to clipboard
Could not be processed,Could not be processed
Could not detect the area for the selected text,"Could not detect the area for the selected text, please try selecting again."
Could not reach server. Please try again later.,Could not reach server. Please try again later.
Create,สร้าง
CREATE,สร้าง
Create and edit thesauri,Create and edit thesauri
Create Connection,Create Connection
Create dictionaries,สร้างพจนานุกรม
Create entity,สร้างรายการ
Create Entity,สร้างรายการ
Create Extractor,Create Extractor
Create group,สร้างกลุ่ม
Create new entities and upload documents,Create new entities and upload documents
Create Reference,Create Reference
Create relationship types,Create relationship types
Create relationships and references,Create relationships and references
Create table of contents,Create table of contents
Created entity,Created entity
Created entity coming from a public form,Created entity coming from a public form
Created page,Created page
Created relation type,Created relation type
Created relationship,Created relationship
Created template,Created template
Created thesaurus,Created thesaurus
Created user group,Created user group
Creating entities,Creating entities
Creating relationships,Creating relationships
Creating thesauri,Creating thesauri
csv blank state message,"Import CSV or ZIP files to create entities in bulk. Click ""New Import"" to get started."
CSV Import,CSV Import
CSV import cancelled,CSV import cancelled
CSV import completed,CSV import completed
CSV import failed,CSV import failed
